ra,dec
2.51793071E+02,-4.58870321E+01
2.51728743E+02,-4.58394702E+01
2.51760872E+02,-4.58511391E+01
2.51759332E+02,-4.58593210E+01
2.51717299E+02,-4.58312538E+01
2.51756132E+02,-4.58321353E+01
2.51756739E+02,-4.58314214E+01
2.51749421E+02,-4.58564692E+01
2.51778209E+02,-4.58819013E+01
2.51761376E+02,-4.58477225E+01
2.51782206E+02,-4.58473310E+01
2.51771807E+02,-4.58155758E+01
2.51807428E+02,-4.58419448E+01
2.51749576E+02,-4.58843570E+01
2.51741629E+02,-4.58519304E+01
2.51713632E+02,-4.58385446E+01
2.51718897E+02,-4.58512457E+01
2.51749741E+02,-4.58445027E+01
2.51758816E+02,-4.58289923E+01
2.51758749E+02,-4.58826027E+01
2.51746907E+02,-4.58732586E+01
2.51716767E+02,-4.58346649E+01
2.51751111E+02,-4.58207897E+01
2.51754372E+02,-4.58696689E+01
2.51783137E+02,-4.58197957E+01
2.51765144E+02,-4.58557612E+01
2.51762266E+02,-4.58474613E+01
2.51761405E+02,-4.58505412E+01
2.51774197E+02,-4.58672851E+01
2.51720412E+02,-4.58695178E+01
2.51738549E+02,-4.58745744E+01
2.51765184E+02,-4.58558274E+01
2.51754259E+02,-4.58599475E+01
2.51779616E+02,-4.58296981E+01
2.51745949E+02,-4.58476458E+01
2.51769176E+02,-4.58888157E+01
2.51786726E+02,-4.58299729E+01
2.51738817E+02,-4.58330399E+01
2.51785281E+02,-4.58105830E+01
2.51779818E+02,-4.58349352E+01
2.51759639E+02,-4.58716729E+01
2.51737389E+02,-4.58573051E+01
2.51757361E+02,-4.58536325E+01
2.51774210E+02,-4.58486018E+01
2.51730656E+02,-4.58290347E+01
2.51757447E+02,-4.58489873E+01
2.51760526E+02,-4.59014669E+01
2.51755340E+02,-4.58401359E+01
2.51775912E+02,-4.58424375E+01
2.51765870E+02,-4.58590697E+01
2.51747566E+02,-4.58959308E+01
2.51749644E+02,-4.58156922E+01
2.51712258E+02,-4.58611735E+01
2.51793109E+02,-4.58436128E+01
2.51759769E+02,-4.58522473E+01
2.51754101E+02,-4.58827760E+01
2.51727062E+02,-4.58240054E+01
2.51767848E+02,-4.58560462E+01
2.51750982E+02,-4.58601287E+01
2.51765530E+02,-4.58471718E+01
2.51726865E+02,-4.58594498E+01
2.51759926E+02,-4.58351481E+01
2.51762899E+02,-4.58069286E+01
2.51755619E+02,-4.59000334E+01
2.51770785E+02,-4.58793637E+01
2.51788285E+02,-4.58157138E+01
2.51798256E+02,-4.58523367E+01
2.51763489E+02,-4.58175681E+01
2.51721347E+02,-4.58418474E+01
2.51771759E+02,-4.58513253E+01
2.51752761E+02,-4.58376437E+01
2.51794803E+02,-4.58670706E+01
2.51724960E+02,-4.58364000E+01
2.51742332E+02,-4.58535839E+01
2.51773352E+02,-4.58969967E+01
2.51721443E+02,-4.58318836E+01
2.51750401E+02,-4.58893442E+01
2.51740002E+02,-4.58743566E+01
2.51732160E+02,-4.58145062E+01
2.51730221E+02,-4.58856367E+01
2.51803138E+02,-4.58563349E+01
2.51744629E+02,-4.58715261E+01
2.51734099E+02,-4.58756940E+01
2.51767613E+02,-4.58657476E+01
2.51719003E+02,-4.58405015E+01
2.51774012E+02,-4.58582075E+01
2.51726048E+02,-4.58364465E+01
2.51730473E+02,-4.58817929E+01
2.51740648E+02,-4.58496462E+01
2.51742843E+02,-4.58486470E+01
2.51723245E+02,-4.58626575E+01
2.51755452E+02,-4.58920402E+01
2.51733294E+02,-4.58375458E+01
2.51784581E+02,-4.58499923E+01
2.51762578E+02,-4.58426616E+01
2.51762493E+02,-4.58889247E+01
2.51724082E+02,-4.58331488E+01
2.51731008E+02,-4.58569735E+01
2.51759893E+02,-4.58594108E+01
2.51774500E+02,-4.58542392E+01
2.51744124E+02,-4.58829066E+01
2.51791490E+02,-4.58444150E+01
2.51774569E+02,-4.58324928E+01
2.51778437E+02,-4.58085312E+01
2.51796243E+02,-4.58817346E+01
2.51760397E+02,-4.58629994E+01
2.51762831E+02,-4.58475169E+01
2.51734027E+02,-4.58288634E+01
2.51718372E+02,-4.58354748E+01
2.51795943E+02,-4.58717411E+01
2.51758949E+02,-4.58593379E+01
2.51732800E+02,-4.58414070E+01
2.51745203E+02,-4.58425139E+01
2.51751316E+02,-4.58461995E+01
2.51767102E+02,-4.58470592E+01
2.51765053E+02,-4.58546443E+01
2.51769592E+02,-4.58505200E+01
2.51804831E+02,-4.58399545E+01
2.51743764E+02,-4.58579452E+01
2.51774893E+02,-4.58643587E+01
2.51747618E+02,-4.58529072E+01
2.51747861E+02,-4.58566460E+01
2.51738513E+02,-4.58600913E+01
2.51761300E+02,-4.58432110E+01
2.51754945E+02,-4.58558062E+01
2.51760872E+02,-4.58454870E+01
2.51763931E+02,-4.58608953E+01
2.51758940E+02,-4.58562502E+01
2.51751652E+02,-4.58151783E+01
2.51765230E+02,-4.58978728E+01
2.51778740E+02,-4.58641016E+01
2.51755849E+02,-4.58529142E+01
2.51760479E+02,-4.58823403E+01
2.51789206E+02,-4.58692302E+01
2.51728041E+02,-4.58420392E+01
2.51782472E+02,-4.58274565E+01
2.51769305E+02,-4.58285016E+01
2.51769977E+02,-4.58325513E+01
2.51744761E+02,-4.58280649E+01
2.51786563E+02,-4.58345437E+01
2.51797910E+02,-4.58584225E+01
2.51760672E+02,-4.58519437E+01
2.51773121E+02,-4.58953595E+01
2.51757284E+02,-4.58603199E+01
2.51753498E+02,-4.58081480E+01
2.51739873E+02,-4.58539813E+01
2.51749904E+02,-4.58577842E+01
2.51765342E+02,-4.58588692E+01
2.51738199E+02,-4.58638465E+01
2.51758635E+02,-4.58500554E+01
2.51728471E+02,-4.58300418E+01
2.51734281E+02,-4.58862689E+01
2.51757217E+02,-4.58179285E+01
2.51725397E+02,-4.58178628E+01
2.51751907E+02,-4.58707823E+01
2.51758751E+02,-4.58075040E+01
2.51760432E+02,-4.58529031E+01
2.51777916E+02,-4.58462521E+01
2.51716957E+02,-4.58573596E+01
2.51758730E+02,-4.58507181E+01
2.51719331E+02,-4.58588854E+01
2.51745493E+02,-4.58534928E+01
2.51750840E+02,-4.58548518E+01
2.51744794E+02,-4.58518358E+01
2.51751097E+02,-4.58088237E+01
2.51764365E+02,-4.58460465E+01
2.51757894E+02,-4.58417707E+01
2.51767180E+02,-4.58556320E+01
2.51750521E+02,-4.58672234E+01
2.51723678E+02,-4.58698471E+01
2.51742252E+02,-4.58258859E+01
2.51765703E+02,-4.58399730E+01
2.51717098E+02,-4.58416068E+01
2.51764334E+02,-4.58484560E+01
2.51744746E+02,-4.58654696E+01
2.51764572E+02,-4.58175636E+01
2.51775586E+02,-4.58455195E+01
2.51753325E+02,-4.58405995E+01
2.51744785E+02,-4.58407104E+01
2.51799305E+02,-4.58393372E+01
2.51796862E+02,-4.58436309E+01
2.51781434E+02,-4.58733127E+01
2.51754984E+02,-4.58225292E+01
2.51746977E+02,-4.58596158E+01
2.51773437E+02,-4.58607246E+01
2.51779692E+02,-4.58202621E+01
2.51768127E+02,-4.58508859E+01
2.51757345E+02,-4.58364516E+01
2.51758897E+02,-4.58510129E+01
2.51738152E+02,-4.58284322E+01
2.51751921E+02,-4.58624405E+01
2.51766205E+02,-4.58528646E+01
2.51725390E+02,-4.58513282E+01
2.51765007E+02,-4.58084831E+01
2.51728354E+02,-4.58654138E+01
2.51788930E+02,-4.58721891E+01
2.51748348E+02,-4.58299288E+01
2.51733207E+02,-4.58302519E+01
2.51787162E+02,-4.58922868E+01
2.51757425E+02,-4.58371981E+01
2.51755092E+02,-4.58507504E+01
2.51714780E+02,-4.58441818E+01
2.51754224E+02,-4.58466363E+01
2.51772218E+02,-4.58124885E+01
2.51742909E+02,-4.58184888E+01
2.51789826E+02,-4.58314099E+01
2.51809311E+02,-4.58568534E+01
2.51783136E+02,-4.58535789E+01
2.51738373E+02,-4.58378955E+01
2.51723520E+02,-4.58417296E+01
2.51750860E+02,-4.58529138E+01
2.51760703E+02,-4.58511437E+01
2.51757851E+02,-4.58349467E+01
2.51765067E+02,-4.58527346E+01
2.51790307E+02,-4.58651882E+01
2.51753978E+02,-4.58808358E+01
2.51756718E+02,-4.58464982E+01
2.51762506E+02,-4.58326919E+01
2.51745846E+02,-4.58361497E+01
2.51751816E+02,-4.58453338E+01
2.51763196E+02,-4.58278652E+01
2.51742213E+02,-4.58515907E+01
2.51758687E+02,-4.58516500E+01
2.51760588E+02,-4.58519044E+01
2.51794488E+02,-4.58500795E+01
2.51756695E+02,-4.58441913E+01
2.51719019E+02,-4.58654258E+01
2.51772037E+02,-4.58371384E+01
2.51756095E+02,-4.58512378E+01
2.51737636E+02,-4.58526000E+01
2.51742238E+02,-4.58590319E+01
2.51767072E+02,-4.58495873E+01
2.51741732E+02,-4.58382909E+01
2.51750505E+02,-4.58265125E+01
2.51770255E+02,-4.58418201E+01
2.51769456E+02,-4.58340338E+01
2.51760828E+02,-4.58532230E+01
2.51770097E+02,-4.58558936E+01
2.51718850E+02,-4.58606002E+01
2.51769564E+02,-4.58282526E+01
2.51757119E+02,-4.58534712E+01
2.51785546E+02,-4.58412031E+01
2.51752319E+02,-4.58122625E+01
2.51767554E+02,-4.58500292E+01
2.51770119E+02,-4.58345001E+01
2.51800024E+02,-4.58497436E+01
2.51759975E+02,-4.58519256E+01
2.51759204E+02,-4.58569529E+01
2.51779681E+02,-4.58458412E+01
2.51736229E+02,-4.58907021E+01
2.51771476E+02,-4.58603155E+01
2.51731575E+02,-4.58700230E+01
2.51759846E+02,-4.58127960E+01
2.51748197E+02,-4.58760547E+01
2.51786247E+02,-4.58524110E+01
2.51721219E+02,-4.58565524E+01
2.51806020E+02,-4.58700566E+01
2.51737623E+02,-4.58435677E+01
2.51787022E+02,-4.58513557E+01
2.51733588E+02,-4.58768723E+01
2.51742189E+02,-4.58567783E+01
2.51763346E+02,-4.58501469E+01
2.51782730E+02,-4.58535984E+01
2.51715952E+02,-4.58526471E+01
2.51779990E+02,-4.58943695E+01
2.51782153E+02,-4.58542788E+01
2.51761516E+02,-4.58504125E+01
2.51801390E+02,-4.58621996E+01
2.51764807E+02,-4.58540291E+01
2.51793262E+02,-4.58306388E+01
2.51736537E+02,-4.58928511E+01
2.51754112E+02,-4.58426289E+01
2.51747292E+02,-4.58836112E+01
2.51805261E+02,-4.58612021E+01
2.51782860E+02,-4.58821311E+01
2.51803024E+02,-4.58710167E+01
2.51739792E+02,-4.58787778E+01
2.51735008E+02,-4.58732416E+01
2.51794454E+02,-4.58205399E+01
2.51762766E+02,-4.58547072E+01
2.51783742E+02,-4.58456098E+01
2.51777837E+02,-4.58597174E+01
2.51774514E+02,-4.58110254E+01
2.51737882E+02,-4.58455973E+01
2.51729329E+02,-4.58455326E+01
2.51762396E+02,-4.58218792E+01
2.51759604E+02,-4.58562507E+01
2.51762639E+02,-4.58526522E+01
2.51759034E+02,-4.58529411E+01
2.51736480E+02,-4.58501203E+01
2.51779764E+02,-4.58661731E+01
2.51733574E+02,-4.58433804E+01
2.51749915E+02,-4.58371076E+01
2.51766435E+02,-4.58516399E+01
2.51767865E+02,-4.58518530E+01
2.51765259E+02,-4.58532796E+01
2.51765946E+02,-4.58658589E+01
2.51784151E+02,-4.58486737E+01
2.51761264E+02,-4.58567304E+01
2.51761126E+02,-4.58504208E+01
2.51739815E+02,-4.58592678E+01
2.51742371E+02,-4.58142035E+01
2.51783762E+02,-4.58254264E+01
2.51771071E+02,-4.58539012E+01
2.51771504E+02,-4.58459450E+01
2.51790056E+02,-4.58650734E+01
2.51761277E+02,-4.58500562E+01
2.51753504E+02,-4.58400367E+01
2.51758341E+02,-4.58509078E+01
2.51759106E+02,-4.58507823E+01
2.51723811E+02,-4.58662011E+01
2.51767893E+02,-4.58542302E+01
2.51802323E+02,-4.58495354E+01
2.51720579E+02,-4.58804142E+01
2.51780401E+02,-4.58610729E+01
2.51760610E+02,-4.58523655E+01
2.51719697E+02,-4.58407595E+01
2.51797054E+02,-4.58284979E+01
2.51770373E+02,-4.58813731E+01
2.51764456E+02,-4.58536260E+01
2.51731208E+02,-4.58198572E+01
2.51756283E+02,-4.58617377E+01
2.51780839E+02,-4.58309276E+01
2.51727179E+02,-4.58516122E+01
2.51797105E+02,-4.58698528E+01
2.51799292E+02,-4.58733927E+01
2.51752980E+02,-4.58565159E+01
2.51773185E+02,-4.58733415E+01
2.51719669E+02,-4.58375295E+01
2.51788336E+02,-4.58747957E+01
2.51722788E+02,-4.58656912E+01
2.51725845E+02,-4.58256359E+01
2.51760872E+02,-4.58576802E+01
2.51772332E+02,-4.58726372E+01
2.51760442E+02,-4.58566937E+01
2.51759399E+02,-4.58217526E+01
2.51748710E+02,-4.58403318E+01
2.51728838E+02,-4.58800516E+01
2.51773497E+02,-4.58142689E+01
2.51766191E+02,-4.58458581E+01
2.51751267E+02,-4.58424037E+01
2.51731934E+02,-4.58814281E+01
2.51767329E+02,-4.58543706E+01
2.51766502E+02,-4.58492718E+01
2.51762922E+02,-4.58321671E+01
2.51759785E+02,-4.58489345E+01
2.51755160E+02,-4.58047135E+01
2.51768592E+02,-4.58293137E+01
2.51742437E+02,-4.58100880E+01
2.51730622E+02,-4.58580794E+01
2.51723789E+02,-4.58209711E+01
2.51781656E+02,-4.58584398E+01
2.51788132E+02,-4.58338369E+01
2.51745685E+02,-4.58531847E+01
2.51787571E+02,-4.58421783E+01
2.51764420E+02,-4.58518033E+01
2.51765617E+02,-4.58523464E+01
2.51740642E+02,-4.58750219E+01
2.51797127E+02,-4.58646071E+01
2.51775029E+02,-4.58188679E+01
2.51743513E+02,-4.58591101E+01
2.51767506E+02,-4.58592757E+01
2.51760915E+02,-4.58563873E+01
2.51772435E+02,-4.58425986E+01
2.51768548E+02,-4.58501897E+01
2.51780658E+02,-4.58637552E+01
2.51749231E+02,-4.58548261E+01
2.51761699E+02,-4.58525848E+01
2.51741947E+02,-4.58574516E+01
2.51769862E+02,-4.58515320E+01
2.51745965E+02,-4.58186707E+01
2.51792840E+02,-4.58237652E+01
2.51781189E+02,-4.58741118E+01
2.51776606E+02,-4.58808929E+01
2.51767673E+02,-4.58496542E+01
2.51781647E+02,-4.58374301E+01
2.51773183E+02,-4.58874803E+01
2.51731178E+02,-4.58502811E+01
2.51771970E+02,-4.58042639E+01
2.51735318E+02,-4.58791924E+01
2.51794181E+02,-4.58816111E+01
2.51756823E+02,-4.58546418E+01
2.51780303E+02,-4.58663269E+01
2.51766827E+02,-4.58408137E+01
2.51747151E+02,-4.58659009E+01
2.51755251E+02,-4.58889965E+01
2.51761247E+02,-4.58666025E+01
2.51748851E+02,-4.58588931E+01
2.51780370E+02,-4.58560687E+01
2.51739330E+02,-4.58657483E+01
